idx,word
0,가다듬어 수습하는
1,가뿐한
2,가장 중요한
3,가지런하게 하는
4,가치있는
5,감동시킬
6,감동시킬 만한
7,개성있는
8,갸륵한
9,거침이 없는
10,걱정이 없는
11,건강에 긍정적인
12,겸손하게 이르는
13,경건한
14,공덕이 있는
15,공정한
16,관광할 만한
17,교육적인
18,구원한
19,궐기할
20,귀염을 받는
21,귀하게 될
22,그렇게 되리라는
23,그렇게 인정받는
24,그리운
25,그리워하거나 좋아하는
26,근본에 맞는
27,깊고 중대한
28,깜찍하게 까딱거리는
29,깜찍하게 생긴
30,깜찍하고 트인
31,깨끗하고 깔끔한
32,깨닫는
33,꾸민
34,꿋꿋한
35,날씬한
36,남보다 높은
37,남을 대접하는
38,남을 웃기는
39,넉넉하고 많은
40,넉넉한
41,넌덕스러운
42,널리 알려진
43,노력하는
44,높여 부르는
45,높여 이르는
46,높은
47,누그러지거나 부드러운
48,누그럽거나 부드러운
49,눈에 뛸
50,늘씬한
51,달뜬
52,달성한
53,달콤하고 정다운
54,달콤한
55,대접하는
56,더 높은
57,덕망을 갖춘
58,도리를 깨닫는
59,되찾는
60,드높은
61,들뜬
62,또렷한
63,또박또박하게 하는
64,마음을 홀리는
65,많이 잡히는
66,매끄러운
67,매력적인
68,매우 미끄러운
69,매우 뽀얀
70,매우 훌륭한
71,멀쑥한
72,멋진
73,명쾌한
74,모순을 초월한
75,모자람이 없을
76,몸을 보하는
77,무게가 있는
78,무르고 부드러운
79,무해한
80,물정에 밝은
81,미끄러운
82,바로잡아 새로운
83,발달된
84,발전시키는
85,발전하는
86,밝고 선명한
87,번듯하고 의젓한
88,베푸는
89,베풀어 주는
90,보답하는
91,보드라운
92,보드랍게 웃는
93,보드랍고 무른
94,보드랍고 순한
95,보드랍고 연한
96,보살피거나 수고하는
97,보살피거나 위하는
98,보탬이 되는
99,복리를 가져오는
100,본받을 만한
101,부드러운
102,부드럽게 흔들리는
103,부드럽고 서정적인
104,부드럽고 순한
105,부러운
106,분명한
107,분위기가 좋은
108,뽀얀
109,뽐내는
110,뽐낼
111,뽐낼 만한
112,사교적인
113,사람다운
114,사랑을 느낄
115,사랑을 표현하는
116,사물에 밝은
117,사심없는
118,산뜻한
119,살그머니 웃는
120,상당한
121,상서로운
122,새로운
123,색다른
124,생기 있는
125,생기가 있는
126,생생하게 보이는
127,생생한
128,서정적인
129,선뜻 행동하는
130,선량한
131,선명한
132,선선한
133,설레게 하는
134,설레는
135,성과가 있을
136,세계적인
137,센셰이셔널
138,솟아나는
139,수고하는
140,수습하는
141,숙련된
142,순서상으로 앞선
143,순수한
144,순종하는
145,순한
146,시원하여 유쾌한
147,시원한
148,신령스러운
149,신뢰할 수 있는
150,신성한
151,신중한
152,신컨
153,실천적인
154,심오한
155,싹싹한
156,쓸모 있는
157,아기자기하거나 간드러진
158,아늑한
159,아담하고 깨끗한
160,아담하고 말끔한
161,아량을 베푸는
162,아주 늘씬한
163,안락하게 지내는
164,안심이 되는
165,안정을 찾은
166,안정한
167,안정한 곳이라는
168,알맞게 내리는
169,앞질러 나서는
170,야무진
171,어긋남이 없는
172,어른 같은
173,엘리트한
174,여유 있는
175,여유로운
176,연하고 보드라운
177,연하고 부드러운
178,열심히 하는
179,열중하는
180,영양가 높은
181,영양가가 높은
182,영양분이 풍부한
183,영예로운
184,예술적인
185,예스러운
186,예절을 지키는
187,옥처럼 아름다운
188,온순한
189,온전한
190,올바르게 이어받은
191,옳은
192,완벽한
193,완성된
194,요긴한
195,욕구가 충족되었을
196,용감한
197,용기를 가진
198,용이한
199,용한
200,우아한
201,우쭐거리는
202,우쭐하는
203,운이 좋은
204,웃기는
205,웃어른을 존경하는
206,웅장한
207,원기 왕성한
208,원만한
209,위엄 있는
210,위엄있는
211,위하는
212,유달리 특별한
213,유명한
214,윤리적인
215,융통하거나 해결할
216,은혜로운
217,의젓하고 고상한
218,의젓하고 신중한
219,의젓한
220,의좋게 지내는
221,이끌리는
222,이루어 만족한
223,이용하기 좋은
224,이해하거나 배우는
225,이해하고 돕는
226,이해하는
227,익숙한
228,인간에게 좋은
229,인정있는
230,일깨워 주는
231,일을 긍정할
232,자꾸 웃는
233,자랑스런
234,자비로운
235,자비로움을 나타낸
236,자연의 아름다운
237,자유로운
238,잘
239,잘빠진
240,잘생긴
241,재능을 가진
242,재능이라는
243,재주를 가진
244,적극적인
245,적당한
246,적당히 좋아하는
247,적절하게 처리하는
248,적확한
249,절개가 굳은
250,정교한
251,정당한
252,정밀한
253,정성을 들인
254,정성이 미치는
255,정의를 위한
256,정이 넘칠
257,정중한
258,정확한
259,제때에 내리는
260,조금 설레는
261,조용하며 찬찬한
262,중대한
263,중요한
264,증상을 치료하는
265,지혜로우며 점잖은
266,지혜로운
267,진리를 깨닫는
268,진리를 깨달은
269,진실된
270,진실하고 올바른
271,진실한
272,진취적인
273,집착을 버린
274,착착 달라붙을
275,착하고 평등한
276,찬찬한
277,창조적인
278,책임감있는
279,천진하게 웃는
280,초월한
281,충성이라는
282,치료하는
283,칭찬하는
284,크고 웅장한
285,타당한
286,탁월한
287,탄력이 있는
288,태평하게 사는
289,태평한
290,통달하는
291,통달한
292,특별한
293,편리하게 이용할
294,평등한
295,평화를 주장하는
296,포근하고 아늑한
297,포근한
298,품격을 갖추는
299,풍미있는
300,하기를 바라는
301,합리적인
302,해낼
303,해학적인
304,햇볕이 잘
305,혁신적인
306,현숙한
307,화려한
308,화합하는
309,확실하고 굳은
310,환상적인
311,활력 넘치는
312,황홀한
313,획기적으로 발전시키는
314,효과적인
315,효율적인
316,후련하게 하는
317,후련하고 상쾌한
318,후련한
